station,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes,increasing_optimal_length,increasing_optimal_length_pp_extreme,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes,high_t_optimal_length,high_t_optimal_length_pp_extreme,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,extreme_pp_rate,days_with_pp,extreme_pp_value,lat,lon,is_land,increasing_optimal_length_pp_extreme_norm,high_t_optimal_length_pp_extreme_norm,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm,avg_high_t_chain_length_for_extremes_norm,avg_increasing_chain_length_for_extremes_norm
-29.301359621762764_-59.0625,2.943283582089552,2.7058823529411766,6,0.125,2.1044776119402986,1.9411764705882353,4,0.14285714285714285,0.056716417910447764,0.05263157894736842,0.029850746268656716,0.1,0.050746268656716415,335,22.27769549936056,-29.301359621762764,-59.0625,True,2.463235294117647,2.8151260504201683,1.0371517027863777,1.970588235294118,0.9224030037546933,0.9193413673785945
-29.301359621762764_-61.875,2.5291970802919708,2.5,4,0.13636363636363635,2.2153284671532845,1.4285714285714286,4,0.07692307692307693,0.06204379562043796,0.058823529411764705,0.043795620437956206,0.0,0.051094890510948905,274,13.172666681930423,-29.301359621762764,-61.875,True,2.6688311688311686,1.5054945054945055,1.1512605042016806,0.0,0.6448576135561309,0.9884559884559885
-29.301359621762764_-64.6875,1.8073394495412844,2.0,3,0.16666666666666666,3.2660550458715596,3.3333333333333335,3,0.125,0.01834862385321101,0.0,0.045871559633027525,0.0,0.05504587155963303,109,14.461277425289154,-29.301359621762764,-64.6875,True,3.0277777777777772,2.270833333333333,0.0,0.0,1.0205992509363297,1.1065989847715736
-29.301359621762764_-67.5,1.837837837837838,2.1666666666666665,5,0.3333333333333333,5.036036036036036,5.666666666666667,5,0.1111111111111111,0.0,,0.0,,0.05405405405405406,111,12.994627514854074,-29.301359621762764,-67.5,True,6.166666666666666,2.0555555555555554,,,1.1252236135957068,1.1789215686274508
-29.301359621762764_-70.3125,2.25414364640884,2.526315789473684,6,0.16666666666666666,4.1602209944751385,4.2105263157894735,4,0.08333333333333333,0.0027624309392265192,0.0,0.0055248618784530384,0.0,0.052486187845303865,362,17.064851615577936,-29.301359621762764,-70.3125,True,3.175438596491228,1.587719298245614,0.0,0.0,1.0120919829454111,1.1207430340557274
-29.301359621762764_-73.125,3.861607142857143,3.9166666666666665,4,0.10714285714285714,2.455357142857143,2.6666666666666665,3,0.16666666666666666,0.022321428571428572,0.2,0.004464285714285714,0.0,0.05357142857142857,224,15.026067662984133,-29.301359621762764,-73.125,False,2.0,3.111111111111111,3.733333333333334,0.0,1.086060606060606,1.014258188824663
-29.301359621762764_-75.9375,4.732142857142857,5.333333333333333,4,0.125,2.0892857142857144,2.1666666666666665,2,0.16666666666666666,0.026785714285714284,0.0,0.044642857142857144,0.2,0.05357142857142857,112,12.045643525198102,-29.301359621762764,-75.9375,False,2.3333333333333335,3.111111111111111,0.0,3.733333333333334,1.037037037037037,1.1270440251572327
-32.091943881744044_-53.4375,2.872844827586207,2.625,1,0.07246376811594203,1.8512931034482758,1.6666666666666667,6,0.16666666666666666,0.10129310344827586,0.0851063829787234,0.0625,0.10344827586206896,0.05172413793103448,464,25.397108774632215,-32.091943881744044,-53.4375,True,1.4009661835748792,3.222222222222222,1.6453900709219857,2.0,0.9002716336825767,0.913728432108027
-32.091943881744044_-56.25,2.8222222222222224,2.5238095238095237,7,0.1,1.8814814814814815,1.7619047619047619,4,0.11538461538461539,0.0691358024691358,0.03571428571428571,0.04691358024691358,0.10526315789473684,0.05185185185185185,405,25.890133157372475,-32.091943881744044,-56.25,True,1.9285714285714288,2.2252747252747254,0.6887755102040816,2.0300751879699246,0.93644544431946,0.8942632170978627
-32.091943881744044_-59.0625,2.7729885057471266,2.8333333333333335,2,0.09230769230769231,1.8879310344827587,1.2777777777777777,2,0.16666666666666666,0.06321839080459771,0.18181818181818182,0.03735632183908046,0.0,0.05172413793103448,348,23.78642801195383,-32.091943881744044,-59.0625,True,1.7846153846153847,3.222222222222222,3.515151515151515,0.0,0.6768138001014713,1.021761658031088
