station,avg_increasing_chain_length,avg_increasing_chain_length_for_extremes,increasing_optimal_length,increasing_optimal_length_pp_extreme,avg_high_t_chain_length,avg_high_t_chain_length_for_extremes,high_t_optimal_length,high_t_optimal_length_pp_extreme,large_jump_pos,large_jump_pos_extreme_pp_rate,large_jump_neg,large_jump_neg_extreme_pp_rate,extreme_pp_rate,days_with_pp,extreme_pp_value,lat,lon,is_land,increasing_optimal_length_pp_extreme_norm,high_t_optimal_length_pp_extreme_norm,large_jump_pos_extreme_pp_rate_norm,large_jump_neg_extreme_pp_rate_norm,avg_high_t_chain_length_for_extremes_norm,avg_increasing_chain_length_for_extremes_norm
-26.510769325211022_-53.4375,3.186635944700461,3.409090909090909,4,0.07936507936507936,1.7419354838709677,1.6363636363636365,7,0.08333333333333333,0.03917050691244239,0.0,0.004608294930875576,0.0,0.05069124423963134,434,143.21892745792866,-26.510769325211022,-53.4375,True,1.5656565656565655,1.6439393939393938,0.0,0.0,0.9393939393939394,1.0698087162295404
-26.510769325211022_-56.25,3.1387665198237884,2.8181818181818183,4,0.07272727272727272,1.975770925110132,2.090909090909091,6,0.125,0.05286343612334802,0.08333333333333333,0.030837004405286344,0.07142857142857142,0.048458149779735685,454,89.82619817834347,-26.510769325211022,-56.25,True,1.5008264462809917,2.5795454545454546,1.7196969696969695,1.4740259740259738,1.0582750582750582,0.8978628389154706
-26.510769325211022_-59.0625,3.232300884955752,2.652173913043478,2,0.08196721311475409,1.6969026548672566,1.6521739130434783,5,0.25,0.084070796460177,0.05263157894736842,0.022123893805309734,0.1,0.05088495575221239,452,142.90083140367642,-26.510769325211022,-59.0625,True,1.6108339272986456,4.913043478260869,1.0343249427917618,1.9652173913043478,0.9736409500595204,0.8205219772044162
-26.510769325211022_-61.875,2.8582375478927204,2.5925925925925926,3,0.09900990099009901,1.9770114942528736,1.8148148148148149,7,0.07407407407407407,0.0842911877394636,0.045454545454545456,0.03639846743295019,0.05263157894736842,0.05172413793103448,522,96.59752347506583,-26.510769325211022,-61.875,True,1.9141914191419143,1.4320987654320987,0.8787878787878788,1.0175438596491229,0.9179586563307494,0.9070598748882931
-26.510769325211022_-64.6875,2.9662698412698414,2.8076923076923075,4,0.078125,1.9900793650793651,2.1153846153846154,6,0.125,0.07738095238095238,0.05128205128205128,0.001984126984126984,0.0,0.051587301587301584,504,257.77375269681215,-26.510769325211022,-64.6875,True,1.514423076923077,2.4230769230769234,0.9940828402366864,0.0,1.0629649512999464,0.9465397478775404
-26.510769325211022_-67.5,3.0792079207920793,2.8095238095238093,3,0.08139534883720931,2.5915841584158414,2.4285714285714284,6,0.1111111111111111,0.0024752475247524753,0.0,0.0,,0.05198019801980198,404,88.50717464229092,-26.510769325211022,-67.5,True,1.5658914728682172,2.1375661375661377,0.0,,0.9370991949788511,0.9124177001990506
-26.510769325211022_-70.3125,1.0769230769230769,1.0,1,0.08333333333333333,6.538461538461538,7.0,7,0.08333333333333333,0.0,,0.0,,0.07692307692307693,13,34.10688546427991,-26.510769325211022,-70.3125,True,1.0833333333333333,1.0833333333333333,,,1.0705882352941176,0.9285714285714286
-26.510769325211022_-73.125,5.5625,5.0,3,0.2,2.0,4.0,7,0.3333333333333333,0.0,,0.0,,0.0625,32,6.64228584500961,-26.510769325211022,-73.125,False,3.2,5.333333333333333,,,2.0,0.898876404494382
-26.510769325211022_-75.9375,6.544554455445544,6.333333333333333,3,0.2,1.8415841584158417,2.1666666666666665,2,0.1111111111111111,0.039603960396039604,0.0,0.0594059405940594,0.0,0.0594059405940594,101,3.141878137830645,-26.510769325211022,-75.9375,False,3.366666666666667,1.8703703703703705,0.0,0.0,1.1765232974910393,0.967725668179526
-29.301359621762764_-53.4375,3.0622317596566524,3.375,5,0.11904761904761904,1.5450643776824033,1.5833333333333333,7,0.125,0.06866952789699571,0.0625,0.027896995708154508,0.0,0.05150214592274678,466,104.39110044389963,-29.301359621762764,-53.4375,True,2.3115079365079363,2.4270833333333335,1.2135416666666667,0.0,1.0247685185185185,1.1021373510861947
-29.301359621762764_-56.25,3.1139240506329116,3.9130434782608696,6,0.1111111111111111,1.6814345991561181,2.1739130434782608,5,0.13333333333333333,0.06751054852320675,0.09375,0.02109704641350211,0.0,0.04852320675105485,474,94.02935004327446,-29.301359621762764,-56.25,True,2.289855072463768,2.747826086956522,1.9320652173913044,0.0,1.292891822595603,1.256627783669141
-29.301359621762764_-59.0625,3.174736842105263,3.25,6,0.10344827586206896,1.583157894736842,1.5833333333333333,4,0.09090909090909091,0.09473684210526316,0.08888888888888889,0.037894736842105266,0.05555555555555555,0.05052631578947368,475,127.10666855564341,-29.301359621762764,-59.0625,True,2.0474137931034484,1.7992424242424243,1.7592592592592593,1.099537037037037,1.0001108156028369,1.0237068965517242
-29.301359621762764_-61.875,3.09284332688588,3.076923076923077,6,0.08333333333333333,1.8646034816247583,1.4615384615384615,2,0.06741573033707865,0.08123791102514506,0.047619047619047616,0.019342359767891684,0.1,0.05029013539651837,517,134.83920180005953,-29.301359621762764,-61.875,True,1.657051282051282,1.3405358686257562,0.9468864468864469,1.9884615384615387,0.7838333865304818,0.9948525520758167
